Date(UTC),Pair,Side,Price,Executed,Amount,Fee
18/12/2020 15:11,DCRUSDT,BUY,36.631,0.4510000000DCR,16.52058100USDT,0.0004510000DCR
18/12/2020 15:11,DCRUSDT,BUY,36.631,0.4510000000DCR,16.52058100USDT,0.0004510000DCR
18/12/2020 15:11,DCRUSDT,BUY,36.631,0.4510000000DCR,16.52058100USDT,0.0004510000DCR
18/12/2020 15:11,DCRUSDT,BUY,36.631,0.4510000000DCR,16.52058100USDT,0.0004510000DCR
18/12/2020 15:11,DCRUSDT,BUY,36.631,0.3240000000DCR,11.86844400USDT,0.0003240000DCR
18/12/2020 15:32,GRTUSDT,BUY,0.26633,126.0000000000GRT,33.55758000USDT,0.1260000000GRT
18/12/2020 15:32,GRTUSDT,BUY,0.26633,203.6000000000GRT,54.22478800USDT,0.2036000000GRT
19/12/2020 01:43,THETAUSDT,BUY,0.92707,169.4000000000THETA,157.04565800USDT,0.1694000000THETA
19/12/2020 13:57,GRTUSDT,SELL,0.42737,311.3000000000GRT,133.04028100USDT,0.1330402800USDT
19/12/2020 14:03,GRTUSDT,BUY,0.46664,320.6000000000GRT,149.60478400USDT,0.3206000000GRT
19/12/2020 14:17,BTCUSDT,SELL,"23,522.69",0.0171480000BTC,403.36708812USDT,0.4033670900USDT
19/12/2020 14:48,BTCUSDT,BUY,"23,367.82",0.0118990000BTC,278.05369018USDT,0.0000119000BTC
20/12/2020 19:14,GRTUSDT,SELL,0.73843,263.7000000000GRT,194.72399100USDT,0.1947239900USDT
20/12/2020 19:14,GRTUSDT,SELL,0.73849,59.0000000000GRT,43.57091000USDT,0.0435709100USDT
20/12/2020 21:19,GRTUSDT,BUY,0.77999,164.9000000000GRT,128.62035100USDT,0.1649000000GRT
20/12/2020 21:32,GRTUSDT,BUY,0.78156,247.9000000000GRT,193.74872400USDT,0.2479000000GRT
20/12/2020 21:48,GRTUSDT,SELL,0.75108,17.1000000000GRT,12.84346800USDT,0.0128434700USDT
20/12/2020 21:48,GRTUSDT,SELL,0.75201,407.1000000000GRT,306.14327100USDT,0.3061432700USDT
20/12/2020 21:54,BTCUSDT,SELL,"23,539.68",0.0120430000BTC,283.48836624USDT,0.2834883700USDT
20/12/2020 22:16,GRTUSDT,BUY,0.73499,541.6000000000GRT,398.07058400USDT,0.5416000000GRT
20/12/2020 22:17,BTCUSDT,BUY,"23,484.63",0.0050000000BTC,117.42315000USDT,0.0000050000BTC
20/12/2020 22:17,BTCUSDT,BUY,"23,485.54",0.0039530000BTC,92.83833962USDT,0.0000039500BTC
20/12/2020 22:17,BTCUSDT,BUY,"23,483.93",0.0050000000BTC,117.41965000USDT,0.0000050000BTC
21/12/2020 04:12,GRTUSDT,SELL,0.68,79.9000000000GRT,54.33200000USDT,0.0543320000USDT
21/12/2020 04:12,GRTUSDT,SELL,0.68,448.5000000000GRT,304.98000000USDT,0.3049800000USDT
21/12/2020 12:09,BTCUSDT,SELL,"22,591.99",0.0053240000BTC,120.27975476USDT,0.1202797500USDT
21/12/2020 12:10,GRTUSDT,BUY,0.55866,509.7000000000GRT,284.74900200USDT,0.5097000000GRT
21/12/2020 18:28,BTCUSDT,BUY,"22,809.14",0.0006120000BTC,13.95919368USDT,0.0000006100BTC
